TCGA-PANCAN-HiSeq-801x20531,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99,gene_100,gene_101,gene_102,gene_103,gene_104,gene_105,gene_106,gene_107,gene_108,gene_109,gene_110,gene_111,gene_112,gene_113,gene_114,gene_115,gene_116,gene_117,gene_118,gene_119,gene_120,gene_121,gene_122,gene_123,gene_124,gene_125,gene_126,gene_127,gene_128,gene_129,gene_130,gene_131,gene_132,gene_133,gene_134,gene_135,gene_136,gene_137,gene_138,gene_139,gene_140,gene_141,gene_142,gene_143,gene_144,gene_145,gene_146,gene_147,gene_148,gene_149,gene_150,gene_151,gene_152,gene_153,gene_154,gene_155,gene_156,gene_157,gene_158,gene_159,gene_160,gene_161,gene_162,gene_163,gene_164,gene_165,gene_166,gene_167,gene_168,gene_169,gene_170,gene_171,gene_172,gene_173,gene_174,gene_175,gene_176,gene_177,gene_178,gene_179,gene_180,gene_181,gene_182,gene_183,gene_184,gene_185,gene_186,gene_187,gene_188,gene_189,gene_190,gene_191,gene_192,gene_193,gene_194,gene_195,gene_196,gene_197,gene_198,gene_199,gene_200,Class
sample_0,0,2.01720929,3.265526912,5.478486512,10.43199896,0,7.175175262,0.59187087,0,0,0.59187087,1.334282225,2.015390519,0.59187087,0,0,0,0,0.59187087,5.619993963,1.334282225,0,9.796088293,0,0,1.598651048,7.215115541,10.83906991,6.620203694,9.513538119,0,4.063658248,7.764805258,4.747655933,13.71439579,10.03449636,0,0,9.833457805,0,10.86126529,0,0,0.59187087,1.010278567,6.962849746,10.95970496,9.769508944,12.24540415,0.59187087,8.968828044,10.17530004,12.39906426,8.479877249,7.355765124,8.331051284,10.64345939,6.821225494,10.63749433,3.340391357,6.792269724,1.010278567,0,1.598651048,7.99196394,10.42775281,10.73430317,3.47807874,8.538115195,3.926037384,8.234750383,7.377930613,4.511449063,8.727811568,0,7.377930613,5.574655586,3.188163516,10.6857825,8.434069388,10.8254279,6.426764579,8.691108384,10.79651015,4.267356012,0,10.18789638,0.59187087,7.408397681,13.23018109,9.719181729,4.228857162,3.826406117,5.997457265,4.445819385,6.590142384,8.647983601,2.338338835,9.713963821,9.742430708,9.067587631,11.169925,10.07100642,11.16099958,9.822994575,8.653447016,2.824951106,1.010278567,1.010278567,10.70304704,11.40662489,1.822036672,11.94084946,8.234750383,9.416594882,12.07577996,7.282467606,6.814729852,12.48069681,7.778629126,9.577938591,8.867513506,7.463328186,8.957096236,9.764286103,9.693784875,6.692720104,8.582691475,10.2772874,8.667909861,9.439377958,6.229680203,8.821356257,1.010278567,6.412576621,0.59187087,10.9012214,9.431982252,10.02189609,7.559552995,12.4081121,8.896974132,11.7494798,9.107925823,9.907700381,8.126337946,11.33450794,10.47368546,9.92059254,9.798556044,11.13488832,10.16259274,13.84649919,3.719369653,5.962685513,9.000600059,9.747657611,10.93412576,9.406872509,10.33676316,8.940812764,9.268394624,9.399848267,5.229403344,1.822036672,8.162537353,3.5422952,0,0,0,8.904628601,8.996309649,2.717802525,1.334282225,4.189294815,8.843823717,10.46395344,7.097168314,11.33819039,12.58226432,0,8.840636322,10.66028119,12.34401566,6.77111967,2.824951106,9.701784682,9.051130073,7.918260995,5.305383258,2.185898253,9.14974712,10.36595056,9.650743022,11.16036308,6.287023415,10.08117716,6.865819861,11.22720076,11.52605903,12.00740577,PRAD
sample_1,0,0.592732095,1.58842082,7.586156738,9.623010856,0,6.816049248,0,0,0,0,0.587845009,2.466601019,1.004393523,0,0,0,0,0,11.05520786,3.562620987,0,10.07046983,0,0,0,9.949812123,8.522475606,1.174789893,4.926990931,0,0,5.819831652,1.32716997,13.28624008,6.663316152,0.587845009,0,9.533302475,0.811142174,9.728151812,0,0.323658291,0,2.651223943,6.698690778,9.830935041,8.818521465,11.50562302,0.323658291,9.314757694,8.951270142,12.3560475,10.33744351,8.010147626,8.192376661,11.12510992,6.090792047,6.803110769,0.587845009,6.340834618,3.499845887,3.866146382,0.323658291,9.926494667,9.334065415,10.21149898,8.605872085,6.266046267,4.666637309,9.107447261,4.312113313,4.516185385,8.759458805,0.587845009,6.361812215,1.813606775,0.323658291,9.698157693,9.14446706,10.37700442,8.771882278,9.183682519,2.176737647,0.587845009,0.323658291,11.34653035,4.92734657,11.80155883,8.885272348,9.795849725,3.137060811,5.321437495,7.716092359,0.811142174,7.263748063,8.518523337,4.951004892,9.139328792,9.298777436,11.46306963,11.41457426,11.81672769,10.59090512,9.256685183,8.244758649,1.174789893,0,0,9.547434405,10.94043106,2.328951324,9.986396713,7.765289414,7.437077894,10.46204209,8.628051776,0.811142174,12.1622434,8.68294544,10.65172443,9.122499308,7.066702744,7.746823317,10.61586869,9.219429925,7.54399845,8.570037832,10.70247574,10.53477949,11.38068292,2.651223943,9.49660016,6.56710123,5.815972423,0,12.46056084,9.64448002,8.410693017,7.500579004,9.969846959,8.663387319,11.32773788,6.459884029,9.401613402,7.036613224,10.16926111,10.29594108,4.256240774,9.642665475,7.71781349,7.909605116,12.35991424,3.217277254,8.401062963,10.40777761,8.996267274,10.41231579,9.378138763,11.13289168,8.097526525,9.840466381,8.710923497,6.127587885,1.004393523,6.127587885,3.562620987,1.913339435,0,0,7.833693397,9.032511393,5.019728598,0,4.694935894,8.560458945,10.93394878,7.205930061,11.2974895,12.23375148,1.813606775,7.604916405,11.11680529,11.6784593,6.385748533,0,9.850138382,9.114666341,8.601206226,5.539965254,1.174789893,8.719559949,9.347012274,9.306248567,10.2388585,7.213288951,8.055862651,1.590817563,10.79442399,10.69351309,11.36865378,LUAD
sample_2,0,3.511758978,4.327198719,6.881786959,9.870729971,0,6.972129709,0.452595435,0,0,0,0.452595435,1.98112199,1.074162876,0,0,0,0,1.683022665,8.210247604,4.195284597,3.660426675,8.970919784,0,0,0.796597754,6.096649804,9.861615797,7.680507214,3.119439184,0,0.452595435,7.899526109,0,10.73109837,6.967883321,0.452595435,0,9.646322892,0.452595435,10.05342363,0,0,0,0,7.592344906,9.971069283,9.28653697,11.92599571,0,8.901069013,8.905907425,11.85945325,9.487277313,8.683464875,10.08411743,10.37418095,6.033123418,10.90143261,3.634976542,7.29083906,1.683022665,0.452595435,1.3068455,7.544400377,11.38799037,10.16320938,2.533663013,8.082713232,1.683022665,4.947105052,1.683022665,1.3068455,10.00612968,0.452595435,2.533663013,3.403376807,0,10.92418156,7.860553165,8.392149957,5.811560939,8.500339985,2.785738854,0,0,10.71759932,5.199432857,4.359675777,13.8920874,9.486537404,0.452595435,0.796597754,3.352235919,3.186960042,3.834488748,7.471740236,2.622672704,9.844948939,8.588605961,11.52038787,11.37062747,10.08508734,10.58993198,7.603322197,2.438798505,1.074162876,1.507160349,0,8.922438714,11.64231348,0.452595435,10.37698272,8.698895625,8.70041891,10.02819616,7.981173377,6.634996865,13.10881845,10.31322317,8.539441893,9.637671825,7.241697203,7.921025658,10.30473918,10.15437511,1.98112199,5.545140558,11.58410753,9.812207796,8.914746882,2.33725438,4.507230135,0.796597754,3.127369147,0,10.01746264,10.10453323,7.871948349,5.199432857,10.68954378,8.726769923,13.45938039,7.809330833,9.374065718,9.938816529,10.62132846,11.22519538,11.20913043,10.52827828,11.23692904,4.074265652,11.83169914,6.907167086,5.914743893,10.21957997,7.894666212,10.25176642,9.883359634,11.11662987,7.38216575,10.04489952,8.356909686,4.743870374,2.33725438,6.488755995,2.438798505,1.507160349,0,0,8.199441691,7.758682938,3.352235919,0.452595435,6.440605099,8.705279877,8.621370589,2.33725438,11.78803719,12.96616475,0,8.12902537,10.25568956,11.20364777,5.958146674,0,9.257274686,3.976345304,3.677147382,4.981167667,1.98112199,9.198793702,8.341469899,5.363374358,11.38309944,0,8.841309593,1.3068455,11.25683376,9.735706632,9.882042311,PRAD
sample_3,0,3.663617874,4.507648778,6.659068275,10.19618407,0,7.843374639,0.434881719,0,0,0,0.434881719,2.874246139,0,0,0,0,0,1.267356012,8.30631693,3.573556306,0,8.52461615,0,0,0,3.913760676,9.5115728,6.469164774,7.02989455,0,1.267356012,6.800641097,7.742713637,12.65947418,8.299890275,0.768586635,0,9.670730595,0.434881719,10.26461853,0,0,0.434881719,1.931418318,8.890291641,10.63930453,11.48445538,12.10770748,0,9.09051473,8.846863094,12.35569796,9.506696347,8.409925483,8.101676336,9.473527177,3.979586391,10.14465824,2.478531813,6.837009728,1.637239266,0,1.464093165,8.107190916,10.49940743,11.05020918,1.464093165,8.323842903,2.384464315,8.769890725,4.949632977,2.058697469,9.297597255,3.184470737,6.892998093,4.847566037,0,10.2654158,8.721417094,10.38108866,7.243735716,8.462665857,9.634792903,6.239923069,0,10.58813369,3.006441658,5.983376722,14.98296239,10.54461675,3.696093997,4.618820081,5.272079193,6.149873096,5.866457993,8.173747083,2.175652338,10.14107254,8.617996326,10.58251837,11.08777442,10.44146066,10.65292562,10.58218904,5.28515435,0.768586635,1.039419183,0,9.919493533,10.84091951,0,10.78333387,8.844655556,8.145351386,11.3043285,7.672305112,5.491009675,13.22011377,8.164932061,10.1664644,9.376837334,6.463424648,7.696974479,10.34330788,10.16249204,5.690914298,6.13550614,11.48940646,9.620034665,10.11705863,5.456753591,8.421812378,1.039419183,1.637239266,1.637239266,10.72035543,9.430044776,8.150717057,9.779830959,11.42367796,7.405201042,12.14829862,6.13550614,9.771144436,8.302830813,10.41233696,10.11518674,10.28632673,9.615511936,11.82214059,8.415881173,12.3025304,4.933119364,3.734720457,9.560787546,9.100036773,9.754201057,10.24663373,11.14917552,7.652257022,10.22997239,9.406307064,5.218564205,8.196415246,6.053825989,3.439636434,0.768586635,0,0,8.397935556,8.129123281,2.058697469,4.679496989,7.489518852,8.860028542,8.767562111,4.775271829,11.07959145,13.37015611,0,8.101676336,10.59241032,11.34672425,4.377692939,0.434881719,9.868989188,9.506000064,9.009316377,5.28515435,1.931418318,8.948980393,9.397715272,8.979462352,11.02649578,2.941857519,9.808412403,7.257133227,10.99856222,10.38981415,7.178734557,PRAD
sample_4,0,2.655741075,2.821546959,6.539453525,9.738264562,0,6.566967329,0.360982241,0,0,0,1.275841423,2.141203877,0,0,0,0,0,0.889707158,10.14915011,2.967629753,0,8.04723845,0,1.435948565,0,1.942120349,8.821534841,5.861429389,7.755708803,0,0.649385529,5.570241288,2.612800691,13.55673355,8.004754179,0,0,9.587569393,0.649385529,9.860650929,0,0,0,0,4.443069519,10.3912973,10.05012073,11.21834527,0.889707158,9.059950076,9.144999759,10.93406677,9.881670737,8.169078171,7.295227105,10.37933504,6.703086853,9.346174627,2.801096559,7.185202515,8.930616122,1.71114245,4.104630202,9.853569997,10.55427227,11.87507353,4.778071871,6.558289066,5.145555188,7.694169811,5.133921032,4.056149961,9.43891034,1.831269236,4.304657056,4.104630202,2.396186896,8.063195517,8.039461955,9.519909435,7.204600487,8.307551477,10.33716472,3.81521676,8.254820769,10.28683495,3.252203696,8.704508894,6.477750173,11.06483706,2.544139137,4.104630202,7.078705892,7.084755249,8.115371439,8.324279574,1.580097233,10.45345585,8.658564971,10.80384859,10.77371617,10.36386098,10.8403216,10.25228697,5.340345065,1.71114245,1.71114245,0,9.117206721,10.33303232,0.649385529,10.19850643,9.142099397,8.604831178,10.90227712,7.835532534,5.399837588,13.02053554,9.577406168,10.0121077,10.15347603,7.231153965,8.143199517,10.61389074,10.27992392,6.987923379,6.205036644,11.20919137,10.18623807,11.13927634,5.428688458,9.353718055,6.367828825,1.580097233,0.360982241,10.10029439,8.910303938,8.436257636,6.463879077,10.32025901,9.063028294,10.82503032,7.446305863,8.503344759,7.908680831,9.209460677,10.14969632,1.095654417,8.660591394,11.51423571,7.032464558,11.41948622,6.243434883,3.208501653,10.78515,9.375658528,9.693398093,9.033301854,11.32450123,7.65197013,9.671939058,9.488282018,5.246233251,1.095654417,7.773158992,3.954000835,1.095654417,0,0,7.172657521,7.161242758,2.801096559,1.095654417,7.717738105,7.956039223,8.524659241,3.019132551,11.53206853,12.40288949,3.525830848,6.171290907,10.27926234,10.82985749,5.639504235,0.649385529,8.793053761,8.735630484,8.258843947,8.466716837,1.095654417,8.548952882,8.324756609,7.688215334,10.64255718,6.921805241,9.11646613,1.831269236,10.81936482,9.89163487,8.981806998,BRCA
sample_5,0,3.467853314,3.581917608,6.62024329,9.706829241,0,7.758509726,0,0,0,0.515409693,0.515409693,2.516796815,0,0,0,0,0.894293934,0.894293934,6.842765176,2.809661389,4.002900506,7.663935184,0,0,1.194150106,0.894293934,9.628387211,7.220446047,7.012758607,4.936703889,1.442280035,8.002235571,2.002018361,14.0211535,9.126059116,0,0,9.962887332,0.515409693,11.13435572,0,0,1.442280035,0,8.118645238,10.32782207,10.13802856,11.9405265,0.894293934,9.461763866,10.27330607,12.09958451,9.703118008,8.100704384,8.610533976,10.39514851,8.292850754,10.31814734,4.114033801,7.121295207,0.515409693,0.515409693,1.838427422,8.938053441,11.15948665,10.1818728,1.194150106,7.968453685,6.793349698,7.831034832,9.709790336,8.337425664,7.865968289,0.894293934,8.184002521,4.314130936,3.324335386,10.41701914,9.617388487,9.156770753,7.349082146,7.884439187,6.931706692,0,0,11.58851321,3.125750275,4.461993405,14.71140349,9.900092434,1.653885489,3.052989658,4.517137087,4.956790827,8.118645238,9.111573891,4.217548695,9.591125855,9.584686333,10.76304634,11.00137301,10.63995565,10.2837829,10.54488718,7.79243893,3.195032565,2.148934105,0,10.32057493,10.0595067,0.894293934,9.9727788,8.720350297,9.614063799,11.65859532,8.196725061,6.842765176,14.9930976,7.778399153,9.607892485,8.634110402,8.087102122,8.637226222,10.14081699,10.88728917,9.08216235,7.328450541,11.11967391,9.25939255,10.9699045,6.183974741,8.586562103,2.404276438,2.002018361,2.148934105,10.20777087,9.094679453,9.116047593,7.935937031,11.49546533,9.295328139,13.38010928,8.779345092,9.445917024,9.137047486,10.42203322,10.20163386,9.502523545,10.14842574,10.4269985,8.474350861,11.76707541,7.60788509,6.166833924,9.724510442,9.381707327,11.50742797,9.164813928,10.45064423,8.921540468,9.786145449,9.271470031,4.517137087,1.194150106,9.570904977,6.321998425,3.261139625,0,0,6.956858185,8.766598474,2.148934105,2.002018361,6.890531812,9.320735124,8.612116552,6.874784673,11.48815145,13.67909518,0,8.560550655,10.3254179,12.15625692,4.404651119,0,9.355978697,9.210040559,8.693671639,5.691129327,0.894293934,9.042770174,9.719037945,8.373361105,11.21061656,7.328450541,8.491660724,5.324544213,11.05680026,9.669283709,9.05563222,PRAD
sample_6,0,1.224966365,1.691176797,6.572007415,9.640510671,0,6.754887502,0.531867996,0,0,3.173926932,1.476796419,3.023840829,0,0,0,0,0,9.466877906,7.424199888,1.224966365,0,9.973639973,0,0,0,0,9.508977245,4.485420387,8.633176885,0,0,5.89940043,0,15.59775288,10.90946561,1.476796419,0,9.145458385,2.191152018,8.634244749,0,0,1.224966365,0,6.336351236,8.32289708,9.931445208,10.92774093,1.87774425,8.637349411,9.580448904,11.2274896,9.61366793,6.436288456,8.926325649,10.2135417,6.926924535,5.803157277,4.128936729,6.291564882,2.042924445,5.124460486,3.932306893,8.921028635,10.22648445,9.868848785,8.159296162,8.334898951,3.602385613,6.687830555,5.264904189,4.723143495,8.692929286,0,6.360035875,4.698585218,0,9.119177178,7.846474511,8.653540167,7.515400231,8.427480468,1.224966365,0,0,10.15324801,3.243486296,10.92277764,7.227933566,9.009800631,0.919683313,1.691176797,2.764643395,0.919683313,10.51898748,9.470508395,3.309845564,9.764009032,9.410338984,9.860570236,9.775062068,9.658927296,9.764748874,8.486058673,7.99253053,5.29798006,1.87774425,0,9.884584185,10.37044766,1.476796419,11.45278176,8.850324379,10.22701419,11.70555895,7.401545142,4.268965799,9.657334529,6.896574599,10.43459696,8.433076288,7.282652932,8.843340089,10.00868072,10.35136994,10.01400652,9.132910952,11.40496058,10.10383855,11.18115226,6.687830555,7.80681381,5.105904319,12.05241182,4.396597932,10.53033805,9.772123192,10.31043101,6.637042144,10.29412675,9.921531542,8.717583896,9.286030949,8.544071888,9.081600607,8.049478301,9.160721066,5.619113641,8.883388657,8.857275021,8.943411512,12.32933106,12.9239588,5.859631688,9.559291043,9.222881824,9.334657655,7.636479619,9.27672928,9.143186759,8.960297394,9.321648546,4.365734524,1.87774425,4.771045698,3.243486296,1.476796419,0,0.531867996,7.906686199,9.405605264,3.023840829,0.919683313,4.648172042,7.809684538,7.99253053,6.630564189,11.4181794,11.50195658,4.771045698,6.912685788,9.554166725,11.18892259,7.030523687,0,9.549701896,9.155645523,7.904002316,4.840040183,3.173926932,9.161272996,8.840888049,9.690406619,9.766351667,8.440499624,8.324905088,0.531867996,9.949772736,9.536954303,7.035436963,KIRC
sample_7,0,2.854853427,1.750477878,7.226720449,9.758691265,0,5.952102884,0,0,0,0.441802155,0,2.40585625,0,0.779553903,0,0,0,0,7.373430712,2.304861451,0,8.922007507,0,0,0,5.145526657,9.406279424,4.664710377,5.705192774,0,6.45462502,7.012713919,5.145526657,16.79858571,10.11391143,1.053041807,0,9.349566532,0,9.276433853,0,0,1.481040556,0,6.822041772,9.641910847,10.71913209,11.50074729,1.053041807,8.421231716,9.659913858,11.6172149,9.582471326,7.443407737,8.995753021,10.02195159,6.551654436,9.212523135,3.940476873,7.19175016,0.441802155,0.441802155,1.9509909,8.983549447,10.66603755,9.81716115,2.078848898,8.818118779,6.756623035,7.543781981,9.174561219,6.279378431,8.326236216,3.150965784,9.285573298,5.935306512,1.053041807,9.644696315,8.412201452,9.662467221,6.542200774,8.620919922,5.716837291,1.810689873,0,10.49391548,1.9509909,5.202789906,12.75962192,8.471654895,3.796867663,4.684947744,7.293315301,5.387004028,9.423695814,9.394805642,4.213844945,10.17778079,8.616975157,10.15166351,10.65068379,10.28276412,9.967226259,9.607204535,9.587183067,2.964879142,0.779553903,0,9.782950719,10.20824655,1.282854909,11.38026624,8.917739047,8.608032994,10.77388921,7.72572071,5.297833368,12.82747172,7.348276688,10.15484342,8.958831078,7.988434749,8.861058983,10.03530774,10.58759002,9.718762319,8.032530678,11.63650228,9.330423948,11.59533209,8.461426241,9.517661515,2.304861451,3.416029011,5.960428304,11.1120941,9.019852002,9.299585818,8.618290054,11.01701716,9.774712947,11.8283785,9.273096224,8.879834398,7.804137476,10.65165269,9.624983661,9.216871937,9.687758835,10.75666473,8.858835787,12.45150477,5.447480016,7.084478895,9.43344565,9.235858669,10.83402853,9.112879937,10.00845664,8.434786665,9.274764839,8.771634722,3.597781434,1.481040556,7.39201683,4.036213183,0.779553903,0,0,6.871437094,8.768081744,2.897104864,1.810689873,5.505525765,8.381529973,7.882893665,8.03647586,10.81090094,12.33937682,0,7.443407737,10.87285953,11.61423592,6.213339504,0.779553903,9.611089367,8.923903854,7.934982306,4.580796721,1.9509909,9.406279424,8.827968239,9.240137798,10.84783253,8.648231734,9.18614396,3.091564443,10.60727482,10.98880538,7.827082249,PRAD
sample_8,0,3.992124874,2.772730248,6.546692314,10.48825189,0,7.690221519,0.352306553,0,4.067604301,1.411317768,1.252839491,2.579976597,0,0,0,0,0,0.635336495,10.1476247,4.287908111,4.773827579,8.34397626,0,0,0,6.080374127,7.600537379,2.824930745,4.934233407,0,0,5.244616909,9.464329279,13.53100368,5.944411047,0,0,8.54219613,2.110864324,9.298044233,0,0,0,0.352306553,7.893550302,9.796883233,10.61859657,10.59917829,0,10.05629901,7.732119929,11.45812461,9.555191128,8.437881046,7.916858765,9.727495069,5.561365854,7.404843531,2.364404342,7.251633892,6.919518859,4.091217445,2.70763522,10.69253704,9.604725564,9.515936326,9.944725236,7.334881078,6.624228134,6.59562748,4.091217445,5.517694581,10.20825875,0,4.22527493,4.287908111,3.778713221,9.642990313,9.912787566,9.298044233,7.257887513,10.29118221,0.352306553,0,0.352306553,10.63700518,4.347934896,8.980962108,8.571866386,9.597017111,0.635336495,1.803061675,2.767464121,0,8.647458426,8.003388605,2.880176134,11.03904241,8.255330772,11.16518337,11.23886447,11.27377812,9.725609953,7.90358665,5.735581747,2.015390519,1.252839491,0.871764811,8.988838036,9.078673873,3.835722002,9.759616924,8.724012404,5.743051732,8.807438647,7.535345371,2.511619841,11.5609012,8.629433125,9.262097195,9.698487639,6.434247906,7.366663175,11.72715467,10.11200937,4.755037107,6.945654519,10.46387172,10.83417079,12.97168904,5.47346873,7.404843531,5.735581747,1.554048507,0.635336495,10.17688372,9.109344887,7.920156314,8.361070877,9.802257852,11.62876448,11.10394343,7.518031493,7.938168151,8.339017096,7.651051691,9.701592373,1.074847916,10.11920053,9.625084149,7.859590692,10.9774302,7.844040355,4.478978275,10.99200361,8.643513509,10.41618528,10.01054209,11.71213145,5.765235038,11.65486423,8.85044003,9.709016589,1.411317768,5.060267923,4.137298581,2.70763522,0,0,6.406288354,7.371489166,4.531693361,2.364404342,6.220761383,10.38698334,7.946280532,2.767464121,10.96450693,9.19559121,0,8.765869524,10.43706541,10.66322897,6.801119846,0.352306553,9.859513045,7.216435464,6.990285531,4.935407885,1.252839491,9.795088317,7.49742076,10.07660185,11.300364,4.478978275,10.42434478,1.411317768,11.13515134,10.31550057,9.980725107,BRCA
sample_9,0,3.642493642,4.423558003,6.849511442,9.464466109,0,7.947216121,0.724213687,0,0,0,1.204140717,2.296310561,0,0,0,0,0,0,7.856780323,1.204140717,5.784391432,6.020050983,0,0,0,0.724213687,9.871312333,6.118104275,6.284210579,0,5.07038074,5.907183914,0,12.57864394,8.285411467,0,0,9.292130641,2.779890039,9.394910654,0,0,0.724213687,0,10.68072872,9.426694563,10.33242823,11.54360704,0,9.539657075,9.052766374,10.87655532,9.537164031,8.198430307,8.774253361,9.808711641,6.82200352,10.81784706,3.030689204,7.457315207,4.057268299,0.724213687,0.724213687,9.208680635,10.94781955,11.37677115,0.724213687,7.992241597,4.953819299,4.983850954,8.605812837,7.28701972,8.198430307,0,6.131583311,3.811460755,0.724213687,9.637119329,8.395654087,9.429425573,5.703850985,8.239469648,8.162768948,0,0,12.2375207,1.204140717,2.779890039,13.23278515,9.721153887,0,2.779890039,5.349499745,4.361761342,7.467923397,8.521294203,3.430285273,9.538429523,9.84393832,9.875323928,11.26692706,10.06552384,10.60182649,8.356011722,6.465445597,1.204140717,1.204140717,0,9.539693905,10.1121658,0.724213687,10.62583667,9.031353839,7.268780578,9.324767858,7.545497378,1.563646269,13.42890972,8.132921231,10.90381408,8.566655353,6.718635616,7.81978951,10.04338279,10.93586486,8.546670709,5.899168378,12.14667368,9.298119862,10.3199656,7.161232679,7.08707029,2.296310561,0,6.682460934,10.19072596,9.447052222,9.675872374,8.003281777,10.94447781,10.05229633,13.3244056,8.461176552,8.730633164,7.97260076,9.161890201,9.751982491,5.801357867,9.249495118,10.19313106,8.40955217,11.38558203,2.779890039,2.779890039,9.700952893,8.651019392,10.16719232,9.700455324,10.37696102,8.226966043,9.189540439,8.516164895,4.16606464,7.807245428,7.363267464,0.724213687,0,0,0,8.273301409,7.856780323,2.296310561,0.724213687,6.994206331,11.277578,8.554197429,6.366315219,11.62686345,12.8817277,0,7.81978951,9.689606679,11.30210767,3.514993297,0,9.198805977,9.033150406,8.61783475,6.497031083,1.563646269,8.810320989,9.199687066,8.551692883,11.16986865,5.543489697,8.485000074,5.349499745,10.22962397,10.69044329,7.08707029,PRAD
